Route stop,Business,Address,Phone,Category,Owned website search status,Raw owned-site candidate,Search evidence
198,Fuwa Dumpling,"3608 Balboa Street, 94121",(415) 665-6688,restaurant,ATTEMPTED - no likely owned-site hit,,"FUWA DUMPLING 福娃餃子 - Updated May 2026 - 493 Photos & 141 ...Fuwa Dumpling , San Francisco CAFuwa Dumpling, San Francisco - Menu, Reviews (79), Photos (19 ...Fuwa Dumpling - Updated November 2025Fuwa Dumpling Delivery Menu | Order Online | 3608 Balboa ...Fuwa Dumpling San Francisco - mymenuweb.comFuwa Dumpling - San Francisco, CA Restaurant | Menu ... (yelp.com) | Fuwa Dumpling , San Francisco CA (fuwadumpling.kwickmenu.com) | Fuwa Dumpling, San Francisco - Menu, Reviews (79), Photos (19 ...Fuwa Dumpling - Updated November 2025Fuwa Dumpling Delivery Menu | Order Online | 3608 Balboa ...Fuwa Dumpling San Francisco - mymenuweb.comFuwa Dumpling - San Francisco, CA Restaurant | Menu ... (restaurantji.com) | Fuwa Dumpling - Updated November 2025 (checkle.com) | Fuwa Dumpling Delivery Menu | Order Online | 3608 Balboa ...Fuwa Dumpling San Francisco - mymenuweb.comFuwa Dumpling - San Francisco, CA Restaurant | Menu ... (grubhub.com)"
199,Kim Son,"3614 Balboa Street, 94121",(415) 221-3811,restaurant,ATTEMPTED - search error,,ERROR: No results found.
200,Mr. Báhn Mì,3605 Balboa Street,(415) 463-6588,cafe,ATTEMPTED - search error,,ERROR: No results found.
201,Crown Hardware,"3615 Balboa Street, 94121",(415) 221-9047,hardware,ATTEMPTED - no likely owned-site hit,,"Radiant Dental in Milpitas, CA 95035 - 408-719-1643 (chamberofcommerce.com) | Radiant Dental Care | Sharecare (providers.sharecare.com) | Radiant Dental Care, 10 S Hillview Dr, Milpitas, CA 95035, US ... (mapquest.com) | Radiant Dental Care, Milpitas, CA - Healthgrades (healthgrades.com) | Nguyen, Thai - Thai Nguyen, DDS Radiant Dental in Milpitas ... (local.yahoo.com)"
202,Shanghai House,"3641 Balboa Street, 94121",(415) 831-9288,restaurant,ATTEMPTED - search error,,ERROR: No results found.
203,H&Q Beauty Salon,"3651 Balboa Street, 94121",(415) 666-0288,hairdresser,ATTEMPTED - no likely owned-site hit,,"H & Q Beauty Salon - San Francisco, CA 94121H&Q BEAUTY SALON - Updated March 2026 - 30 Photos & 51 ... - YelpH&Q BEAUTY SALON - Updated May 2026 - 30 Photos & 51 ... - YelpH & Q Beauty Salon Company Profile -Sales, Contacts ...H&Q Salon - 3651 Balboa St, San Francisco, CA 94121 | FreshaH&Q Beauty Salon - Yahoo Local Search Results (yellowpages.com) | H&Q BEAUTY SALON - Updated March 2026 - 30 Photos & 51 ... - YelpH&Q BEAUTY SALON - Updated May 2026 - 30 Photos & 51 ... - YelpH & Q Beauty Salon Company Profile -Sales, Contacts ...H&Q Salon - 3651 Balboa St, San Francisco, CA 94121 | FreshaH&Q Beauty Salon - Yahoo Local Search Results (yelp.ca) | H&Q BEAUTY SALON - Updated May 2026 - 30 Photos & 51 ... - Yelp (yelp.com) | H & Q Beauty Salon Company Profile -Sales, Contacts ... (buzzfile.com) | H&Q Salon - 3651 Balboa St, San Francisco, CA 94121 | Fresha (fresha.com)"
204,Kufu-Ya,"7001 Geary Boulevard, San Francisco, CA, 94121",(415) 668-8699,restaurant,ATTEMPTED - no likely owned-site hit,,"Office Closing - Plaza Dental Group (plazadental.com) | (408) 942-1XXX San Jose, CA Phone Book + (408) 942-1XXX Phone... (callersmart.com) | Park Victoria Dental - Milpitas, California (wikimapia.org) | F1 - The Official Home of Formula 1® Racing (formula1.com) | Restaurants, Dentists, Bars, Beauty Salons, Doctors - Yelp (yelp.com)"
205,Sugarcane SF,6903 Geary Boulevard,(415) 933-8938,cafe,ATTEMPTED - no likely owned-site hit,,
206,Geary Cafe,6900 Geary Boulevard,(415) 422-1423,cafe,ATTEMPTED - no likely owned-site hit,,"Dentists in Milpitas, CA: directory of cosmetic and pediatric dentists... (101dentist.com)"
207,Star East,3101 Clement Street,(415) 666-0777,hairdresser,ATTEMPTED - no likely owned-site hit,,"BBH NOODLE, Milpitas - Restaurant Reviews, Phone... - Tripadvisor (tripadvisor.com)"
208,Ruby's Cut,2838 Clement Street,(415) 751-1662,hairdresser,ATTEMPTED - no likely owned-site hit,,Beauty salon in Milpitas (milpitas.calstatedir.com)
209,Jang Soo BBQ,"6314 Geary Boulevard, San Francisco, CA, 94121",(415) 221-8282,restaurant,ATTEMPTED - search error,,ERROR: No results found.
210,George Jee Insurance Services,6125 Geary Boulevard,(415) 668-3272,insurance,RAW HIT REVIEWED - not confirmed owned site,https://www.insurancelevel.com/ca/346381/george-jee.cfm,"George Jee Insurance Srvcs LLC, San Francisco - 94121 ...George Jee Insurance - San Francisco, CA 94121George Jee Insurance Services Company Profile -Sales ...George Jee GEORGE JEE INSURANCE, SAN FRANCISCO, CA contact ...George Jee Insurance | San Francisco, CA - insuranceproviders.comGeorge Jee Insurance in San Francisco, CA (Insurance Agent ...George Jee Insurance San Francisco CA, 94121 – Manta.com (agency.nationwide.com) | George Jee Insurance - San Francisco, CA 94121 (yellowpages.com) | George Jee Insurance Services Company Profile -Sales ...George Jee GEORGE JEE INSURANCE, SAN FRANCISCO, CA contact ...George Jee Insurance | San Francisco, CA - insuranceproviders.comGeorge Jee Insurance in San Francisco, CA (Insurance Agent ...George Jee Insurance San Francisco CA, 94121 – Manta.com (buzzfile.com) | George Jee GEORGE JEE INSURANCE, SAN FRANCISCO, CA contact ... (insurancelevel.com)"
211,Qué Chulada,"5848;5850 Geary Boulevard, San Francisco, California, 94121 (reverse-geocoded approximate)",(415) 702-6433,restaurant,ATTEMPTED - search error,,ERROR: No results found.
212,An Chi,"5827 Geary Boulevard, San Francisco, CA, 94121",(415) 702-9986,restaurant,ATTEMPTED - no likely owned-site hit,,中美珠心算學會 (caaa-abacus.org)
213,Nail Care by Theresa,5815 Geary Boulevard,(415) 806-8329,beauty,ATTEMPTED - no likely owned-site hit,,"Pizza Box has maintained its guiding ethos... | The Milpitas Beat (milpitasbeat.com) | The Pizza Box - Milpitas, California (wikimapia.org)"
214,Pho Huong Viet,5733 Geary Boulevard,(415) 702-6177,restaurant,ATTEMPTED - search error,,ERROR: No results found.
215,Aquatica Nails,5707 Geary Boulevard,(415) 422-0448,beauty,ATTEMPTED - no likely owned-site hit,,"Hair Salons in San Francisco, CA — 589 businesses | Mainstreetly (mainstreetly.ai)"
216,Mai's Beauty Salon,5547 Geary Boulevard,(415) 752-1642,beauty,ATTEMPTED - no likely owned-site hit,,"Hair Salons in San Francisco, CA — 589 businesses | Mainstreetly (mainstreetly.ai)"
217,Buffalo Burgers,"5317 Geary Boulevard, San Francisco, CA, 94121",(415) 668-1267,fast_food,ATTEMPTED - search error,,ERROR: No results found.
218,Sweet Mango,5217 Geary Boulevard,(415) 668-8812,cafe,ATTEMPTED - no likely owned-site hit,,"SWEET MANGO DESSERT & CAFE - Updated May 2026 - YelpSweet Mango Dessert Cafe in San Francisco , CA - SuperpagesSweet Mango Dessert Cafe - San Francisco, CA 94118Sweet Mango Dessert Cafe - Updated November 2025Sweet Mango Dessert Cafe menu - San Francisco CA 94118 - (877 ...Sweet Mango Dessert Cafe, San Francisco - Menu, Reviews (87 ...Sweet Mango Cafe - East Phoenix (yelp.com) | Sweet Mango Dessert Cafe in San Francisco , CA - Superpages (superpages.com) | Sweet Mango Dessert Cafe - San Francisco, CA 94118 (yellowpages.com) | Sweet Mango Dessert Cafe - Updated November 2025 (checkle.com) | Sweet Mango Dessert Cafe menu - San Francisco CA 94118 - (877 ...Sweet Mango Dessert Cafe, San Francisco - Menu, Reviews (87 ...Sweet Mango Cafe - East Phoenix (allmenus.com)"
219,amphawa,5020 Geary Boulevard,(415) 221-2824,restaurant,ATTEMPTED - no likely owned-site hit,,Amphawa Thai Noodle House | Eater SF (sf.eater.com) | AMPHAWA - Updated May 2026 - 1163 Photos & 641 Reviews - 5020 ...Amphawa Thai Noodle House - Official MapQuestAmphawa - gearyblvd.orgAmphawa Thai Noodle House | San Francisco CA - FacebookAmphawa Thai Noodle House | REFRESH Amphawa Thai ... - InstagramOrder AMPHAWA THAI NOODLE HOUSE - San Francisco ... - DoorDashAMPHAWA THAI NOODLE HOUSE Delivery Menu - DoorDash (yelp.com) | Amphawa Thai Noodle House - Official MapQuest (mapquest.com) | Amphawa - gearyblvd.org (gearyblvd.org) | Amphawa Thai Noodle House | San Francisco CA - FacebookAmphawa Thai Noodle House | REFRESH Amphawa Thai ... - InstagramOrder AMPHAWA THAI NOODLE HOUSE - San Francisco ... - DoorDashAMPHAWA THAI NOODLE HOUSE Delivery Menu - DoorDash (facebook.com)
220,Sagarmatha Kitchen,4828 Geary Boulevard,(415) 571-8105,restaurant,ATTEMPTED - search error,,ERROR: No results found.
221,"Randolph Yip, DDS","4800;4804 Geary Boulevard, San Francisco, California, 94118 (reverse-geocoded approximate)",(415) 221-4800,dentist,ATTEMPTED - search error,,ERROR: No results found.
222,Express Pupuseria,4715 Geary Boulevard,(415) 666-3534,fast_food,ATTEMPTED - no likely owned-site hit,,Beauty salon in Milpitas (milpitas.calstatedir.com)
223,Korean Village Wooden Charcoal,4611 Geary Boulevard,(415) 751-6336,restaurant,ATTEMPTED - no likely owned-site hit,,"OP Beautiful Nails Spa: Read Reviews and Book Classes on ClassPass (classpass.com) | Hair care in Milpitas - reviews, addresses and phone numbers (milpitas-ca.california-list.com)"
224,Celandine Day Spa,404 8th Avenue,(415) 666-0800,beauty,ATTEMPTED - no likely owned-site hit,,"Liang, Vincent - Vincent Liang, DDS in Milpitas, CA - Yahoo (local.yahoo.com) | Vincent Liang D.d.s. , Inc. Milpitas CA - ehealthscores.com (ehealthscores.com) | Vincent Liang D.d.s. , Inc. in Milpitas, California - Dental ...Vincent Liang DDS Inc - Milpitas, CA 95035 - The Real Yellow ...Vincent Liang, DDS, 106 Dixon Rd, Milpitas, CA 95035, US ...Vincent Liang D.d.s. , Inc. in Milpitas, CA - DentistMap and Directions to Vincent Liang DDS Inc. in Milpitas, CA ... (npino.com) | Vincent Liang DDS Inc - Milpitas, CA 95035 - The Real Yellow ... (yellowpages.com) | Vincent Liang, DDS, 106 Dixon Rd, Milpitas, CA 95035, US ... (mapquest.com)"
225,Muu Kara Thai Charcoal BBQ,"4217 Geary Boulevard, San Francisco, CA, 94118",(415) 702-6565,restaurant,ATTEMPTED - search error,,ERROR: No results found.
226,"Donald S. Lim, D.D.S",4215 Geary Boulevard,(415) 387-0220,dentist,ATTEMPTED - no likely owned-site hit,,"Sean's Barber Shop - Warm Springs Plaza | CA (warmspringsplaza.com) | Sean's Barber Shop - Barber shop in East Industrial - Website (seans-barber-shop.com-place.com) | Best 30 Barbers in Fremont, CA with Reviews | The Real Yellow Pages (yellowpages.com)"
227,LH Restaurant,"4142 Geary Boulevard, San Francisco, CA, 94118",(415) 387-1234,restaurant,ATTEMPTED - search error,,ERROR: No results found.
228,Chocococo,455 Clement Street,(628) 233-8088,clothes,ATTEMPTED - search error,,ERROR: No results found.
229,Wing Lee B.B.Q. Restaurant,501 Clement Street,(415) 831-7883,fast_food,ATTEMPTED - search error,,ERROR: No results found.
230,Wing Lee Bakery,503 Clement Street,(415) 668-9481,bakery,ATTEMPTED - search error,,ERROR: No results found.
231,Golden Phoenix Hair Salon,514 Clement Street,(415) 752-4524,hairdresser,ATTEMPTED - no likely owned-site hit,,"赤小鍋 Red Pot | Taiwanese Hot Pot | 2090 Warm Springs Ct #124 ..... (usarestaurants.info) | 赤小鍋 Red Pot | Taiwanese Hot Pot - RestaurantjiOnline Menu of Red Pot, Fremont, CAOnline Menu of Red Pot Restaurant, Fremont, California, 94539 ...Red Pot - Fremont, CA 94539 - The Real Yellow PagesRed Pot in Fremont, CA - restaurant.com赤小鍋 Red Pot Taiwanese Hot Pot in Fremont - Restaurant reviews (restaurantji.com) | Online Menu of Red Pot, Fremont, CAOnline Menu of Red Pot Restaurant, Fremont, California, 94539 ...Red Pot - Fremont, CA 94539 - The Real Yellow PagesRed Pot in Fremont, CA - restaurant.com赤小鍋 Red Pot Taiwanese Hot Pot in Fremont - Restaurant reviews (menupix.com) | Online Menu of Red Pot Restaurant, Fremont, California, 94539 ...Red Pot - Fremont, CA 94539 - The Real Yellow PagesRed Pot in Fremont, CA - restaurant.com赤小鍋 Red Pot Taiwanese Hot Pot in Fremont - Restaurant reviews (zmenu.com) | Red Pot - Fremont, CA 94539 - The Real Yellow Pages (yellowpages.com)"
232,Fame Hair Design,616 Clement Street,(415) 386-8617,hairdresser,ATTEMPTED - search error,,ERROR: No results found.
233,Red A Bakery,634 Clement Street,(415) 668-8881,fast_food,ATTEMPTED - no likely owned-site hit,,Pho Saigon Pasteur Noodle House Fremont CA Restaurant opening... (openingtimes.co)
234,Xiao Long Bao Restaurant,625 Clement Street,(415) 666-3998,fast_food,ATTEMPTED - search error,,ERROR: No results found.
235,Clement BBQ,617 Clement Street,(415) 666-3328,restaurant,ATTEMPTED - search error,,ERROR: No results found.
236,Moku Yakitori,"312 8th Avenue, San Francisco, CA, 94118",(415) 379-4113,restaurant,ATTEMPTED - search error,,ERROR: No results found.
237,SF Smiles Dental,319 8th Avenue,(415) 668-2600,dentist,ATTEMPTED - no likely owned-site hit,,"De Ala Dental Care, Fremont CA - Company Profile | BizStanding (bizstanding.com) | DE Ala Dental Care Fremont CA, 94538 – Manta.com (manta.com) | Dr. Deala DDS Fremont CA - ehealthscores.com (ehealthscores.com) | De Ala Dental Care - Fremont, CA 94538 - The Real Yellow Pages (yellowpages.com) | De Ala Dental Care 39453 Fremont Blvd, Fremont, CA 94538 ... (superpages.com)"
238,May's Hair Design,"746 Clement Street, San Francisco, CA, 94118",(415) 379-9928,hairdresser,ATTEMPTED - search error,,ERROR: No results found.
239,Sewa,"815 Clement Street, San Francisco, CA, 94118",(415) 742-4596,restaurant,ATTEMPTED - no likely owned-site hit,,"Amy B Wong DDS - Fremont, CA 94538 - The Real Yellow Pages (yellowpages.com) | Amy B. Wong, D.d.s., Inc. in Fremont, California - Dental ... (npino.com) | Amy B. Wong, D.d.s., Inc. in Fremont, CA - Dentist (medicarelist.com) | Contact Us — Amy B. Wong, DDS (fremontdds.com) | Wong Amy B DDS, 39358 Fremont Blvd, Fremont, CA 94538, US ... (mapquest.com)"
240,Chongqing Hot Pot,832 Clement Street,(415) 831-8811,restaurant,ATTEMPTED - search error,,ERROR: No results found.
241,Lime Tree,"836 Clement Street, CA, 94118",(415) 831-8811,restaurant,ATTEMPTED - no likely owned-site hit,,sushikenfremont.com (sushikenfremont.com)
242,Beam Properties,1124 12th Avenue,(415) 729-7250,estate_agent,ATTEMPTED - search error,,ERROR: No results found.
243,Fairy Lake Aquarium,1609 Clement Street,(415) 752-3527,pet,ATTEMPTED - no likely owned-site hit,,"Locales comerciales en Niles, Fremont city (callejero-california.openalfa.com) | Locales comerciales en Niles District, Niles (callejero-california.openalfa.com)"
244,Fuku Ramen,2110 Clement Street,(415) 683-5979,restaurant,ATTEMPTED - no likely owned-site hit,,"Dino's Family Restaurant in Fremont, CA 94536 - 510-792... (chamberofcommerce.com) | Dino's Family Restaurant, Fremont - Menu, Reviews (255 ...Dino's Family Restaurant | Fremont CA - FacebookDino's Family Restaurant | (510) 792-6533 | Fremont, CaliforniaDino's Family Restaurant - Fremont, CA 94536Dino's Family Restaurant, Fremont, CA - 36930 Fremont Blvd ...Dino's Family Restaurant 36930 Fremont Blvd, Fremont, CA ... (restaurantji.com) | Dino's Family Restaurant | Fremont CA - FacebookDino's Family Restaurant | (510) 792-6533 | Fremont, CaliforniaDino's Family Restaurant - Fremont, CA 94536Dino's Family Restaurant, Fremont, CA - 36930 Fremont Blvd ...Dino's Family Restaurant 36930 Fremont Blvd, Fremont, CA ... (facebook.com) | Dino's Family Restaurant | (510) 792-6533 | Fremont, California (allbiz.com) | Dino's Family Restaurant - Fremont, CA 94536Dino's Family Restaurant, Fremont, CA - 36930 Fremont Blvd ...Dino's Family Restaurant 36930 Fremont Blvd, Fremont, CA ... (yellowpages.com)"
245,Thanh Thanh Café,2205 Clement Street,(415) 387-1759,cafe,ATTEMPTED - no likely owned-site hit,,Tucker Method (jasontucker.amtamembers.com)
246,Kayo Hair,2211 Clement Street,(415) 831-2222,hairdresser,ATTEMPTED - no likely owned-site hit,,"Jade Palace Restaurant - Newark, CA 94560 - Menu, Reviews, Hours... (restaurantjump.com)"
247,Izakaya Mayumi,"2221;2223 Clement Street, San Francisco, California, 94121 (reverse-geocoded approximate)",(415) 742-4159,restaurant,ATTEMPTED - search error,,ERROR: No results found.
248,Blossom Beauty Salon & Spa,2416 Clement Street,(415) 702-6818,beauty,ATTEMPTED - search error,,ERROR: No results found.
249,Chef Xiong Kitchen,"2428 Clement Street, San Francisco, CA, 94121",(415) 706-1623,restaurant,ATTEMPTED - search error,,ERROR: No results found.
250,Indian Clay Oven,2438 Clement Street,(415) 751-5000,restaurant,RAW HIT REVIEWED - not confirmed owned site,https://theresahairnails.com/services,"Theresa Hair & Nails - Fremont, CA 94555 - The Real Yellow PagesTheresa's Hair & Nails - Fremont, CATheresa Hair & Nails 34763 Ardenwood Blvd, Fremont, CA 94555 ...Theresa's Hair & Nails Fremont - 34763 Ardenwood Blvd ...Theresa's Hair & Nails Fremont in Fremont, CA 94555 - 510-793...Our Services - Theresa’s Hair & Nails of Fremont, CA 94555 ...Theresa's Hair & Nails – Fremont Beauty/Hair Salon (yellowpages.com) | Theresa's Hair & Nails - Fremont, CATheresa Hair & Nails 34763 Ardenwood Blvd, Fremont, CA 94555 ...Theresa's Hair & Nails Fremont - 34763 Ardenwood Blvd ...Theresa's Hair & Nails Fremont in Fremont, CA 94555 - 510-793...Our Services - Theresa’s Hair & Nails of Fremont, CA 94555 ...Theresa's Hair & Nails – Fremont Beauty/Hair Salon (yelp.com) | Theresa Hair & Nails 34763 Ardenwood Blvd, Fremont, CA 94555 ... (superpages.com) | Theresa's Hair & Nails Fremont - 34763 Ardenwood Blvd ... (businessyab.com) | Theresa's Hair & Nails Fremont in Fremont, CA 94555 - 510-793... (chamberofcommerce.com)"
251,Little Sushi Bar,200 23rd Avenue,(415) 682-4418,restaurant,ATTEMPTED - no likely owned-site hit,,"Cam Huong at 32124 Alvarado Boulevard, Union City, CA 94587 (union-city.calstatedir.com)"
252,Balboa Bubbles,2001 Balboa Street,(415) 789-6679,laundry,ATTEMPTED - search error,,ERROR: No results found.
253,The Richmond,"615 Balboa Street, San Francisco, CA, 94118",(415) 379-8988,restaurant,ATTEMPTED - search error,,ERROR: No results found.
254,Xiao Yu's Kitchen,560 Balboa Street,(415) 742-4392,restaurant,ATTEMPTED - search error,,ERROR: No results found.
255,Luxury Spa,405 Balboa Street,(415) 702-6351,beauty,ATTEMPTED - search error,,ERROR: No results found.
256,Muguboka,"401 Balboa Street, San Francisco, 94118",(415) 668-6007,restaurant,ATTEMPTED - search error,,ERROR: No results found.
257,O'Keeffe's,"598 5th Avenue, San Francisco, CA, 94118",(415) 751-1449,bar,ATTEMPTED - search error,,ERROR: No results found.
258,Hair Touch,341 Balboa Street,(415) 876-7728,beauty,ATTEMPTED - search error,,ERROR: No results found.
259,D & A Cafe,407 Clement Street,(415) 668-7883,restaurant,ATTEMPTED - search error,,ERROR: No results found.
260,"Yan Kalika D.M.D., M.S.",3412 Geary Boulevard,(415) 752-0654,dentist,ATTEMPTED - no likely owned-site hit,,"Zeny's Hair Salon at 3850 Smith Street, Union City, CA 94587 (union-city.calstatedir.com)"
261,Sohn & Song Accountancy Corp.,3001 Geary Boulevard,(415) 379-6860,accountant,ATTEMPTED - search error,,ERROR: No results found.
262,Geomantic Salon,1221 Divisadero Street,(415) 549-7276,hairdresser,ATTEMPTED - search error,,ERROR: No results found.
263,Sung's Automotive,999 Divisadero Street,(412) 346-5976,car_repair,RAW HIT REVIEWED - not confirmed owned site,https://www.toppingstree.com/?lightbox=imagef6a,"TOPPINGS TOO RESTAURANT - Updated May 2026 - YelpToppings Juan Too Tree RestaurantsToppings Too Restaurant | Union City, CA 94587 | DexKnows.comToppings Too Restaurant in Union City, CA 94587 - 510-429...Toppings Too Restaurant - Updated November 2025Toppings Too Restaurant | (510) 429-1058 | Union City, CaliforniaToppings Too Restaurant Menu – Union City, CA (yelp.com) | Toppings Juan Too Tree Restaurants (toppingstree.com)"
264,NewBills Barbershop & Salon,781 Divisadero Street,(415) 374-4353,hairdresser,ATTEMPTED - search error,,ERROR: No results found.
265,Katsuo+Kombu,559 Divisadero Street,(415) 829-3150,restaurant,ATTEMPTED - search error,,ERROR: No results found.
266,Club Waziema,"543 Divisadero Street, San Francisco, 94117",(415) 346-6641,restaurant,ATTEMPTED - search error,,ERROR: No results found.
267,Asian American Medical Center,"1630 Geary Boulevard, CA",(415) 346-2828,dentist,ATTEMPTED - no likely owned-site hit,,Pho Ty II Hayward CA Asian Restaurant opening hours and reviews (openingtimes.co)
268,Osakaya,"Geary Boulevard, San Francisco, California, 95115 (reverse-geocoded approximate)",(415) 922-2728,restaurant,ATTEMPTED - search error,,ERROR: No results found.
269,Trio Nails,1832 Buchanan Street,(415) 931-9261,beauty,ATTEMPTED - search error,,ERROR: No results found.
270,Elite Fine Jewelry,2480 Sacramento Street,(415) 931-9100,jewelry,ATTEMPTED - search error,,ERROR: No results found.
271,San Francisco Animal Medical Center,2343 Fillmore Street,(415) 872-1872,veterinary,ATTEMPTED - no likely owned-site hit,,"Pistons Car Care Center | (510) 582-0227 | Hayward, California (allbiz.com) | Pistons Car Care Center 22484 Mission Blvd, Hayward, CA 94541 ... (cars.superpages.com) | Pistons Car Care Center - Hayward, CA 94541Pistons Car Care Center - 263 Reviews - Auto Repair in ...PISTONS CAR CARE CENTER Hayward CA, 94541 - Company Profilegoogle mapsPistons Car Care Center - Hayward, CA 94541 Auto Repair (yellowpages.com) | Pistons Car Care Center - 263 Reviews - Auto Repair in ... (reviews.birdeye.com) | PISTONS CAR CARE CENTER Hayward CA, 94541 - Company Profile (start.cortera.com)"
272,9 Nail Spa,"Franklin Street, San Francisco, California, 94164 (reverse-geocoded approximate)",(415) 567-3861,beauty,ATTEMPTED - search error,,ERROR: No results found.
273,Wayo,"1407 Van Ness Avenue, San Francisco, CA",(415) 561-9598,restaurant,ATTEMPTED - search error,,ERROR: No results found.
274,Route 101,"1332 Van Ness Avenue, San Francisco, CA, 94109",(415) 874-9360,bar,ATTEMPTED - search error,,ERROR: No results found.
275,La Fina Estampa,"1407 Bush Street, San Francisco, CA, 94109",(415) 345-1685,restaurant,ATTEMPTED - search error,,ERROR: No results found.
276,Sammy's Cafe,"1416 Bush Street, San Francisco, CA",(415) 749-1938,cafe,ATTEMPTED - no likely owned-site hit,,"Skin Care in San Leandro, CA (Page 3) (ilookbetter.com)"
277,Aicha,"1303 Polk Street, San Francisco, CA",(415) 345-9947,restaurant,ATTEMPTED - search error,,ERROR: No results found.
278,Victor's Pizzeria & Restaurant,"1411 Polk Street, San Francisco, CA",(415) 885-1660,restaurant,ATTEMPTED - search error,,ERROR: No results found.
279,Cordon Bleu,"1574 California Street, San Francisco, CA, 94109",(415) 673-5637,restaurant,ATTEMPTED - no likely owned-site hit,,Best Barbers near me in San Francisco | Fresha (fresha.com) | Best Beard Trims near me in San Francisco | Fresha (fresha.com) | Best hot towel shave near me in San Francisco | Fresha (fresha.com)
280,Lan's Formal Wear,"1538;1540;1542;1544 Polk Street, San Francisco, California, 94109 (reverse-geocoded approximate)",(415) 921-2615,clothes,ATTEMPTED - search error,,ERROR: No results found.
281,Zee Continental Jewelry,1546 Polk Street,(415) 775-2935,jewelry,ATTEMPTED - search error,,ERROR: No results found.
282,CC Nail Spa,"1472 California Street, San Francisco, CA",(415) 887-8989,beauty,ATTEMPTED - search error,,ERROR: No results found.
283,Hair Future,1434 California Street,(415) 771-9577,hairdresser,ATTEMPTED - no likely owned-site hit,,"Bakery in San Leandro - reviews, addresses and phone numbers (san-leandro-ca.california-list.com)"
284,Lady Goldfingers,1432 California Street,(415) 441-8857,beauty,ATTEMPTED - search error,,ERROR: No results found.
285,Costa Del Sol Tanning,"1426 California Street, San Francisco, CA",(415) 771-3577,beauty,ATTEMPTED - no likely owned-site hit,,"CocoBreeze – CA Black Business Listings (cablackbusinesslistings.com) | CocoBreeze is the only dedicated Trinidadian spot in the city (sf.eater.com) | Contact Us | Catering Services & Cajun Cuisine in Oakland, CA (cocobreezeco.myshopify.com) | Black-Owned Food Brands: Quality Products Worth Savoring - Find... (blackownedassociation.com) | Oakland의 39개 최고의 여성 소유 레스토랑 (wanderlog.com)"
286,Hair on Hyde,1402 California Street,(415) 674-9689,hairdresser,ATTEMPTED - search error,,ERROR: No results found.
287,The Floral Designer,963 Hyde Street,(415) 775-2757,florist,ATTEMPTED - search error,,ERROR: No results found.
288,Cup of Joy,896 Sutter Street,(415) 563-7745,cafe,ATTEMPTED - no likely owned-site hit,,"El Torito Auto Body Map - Automobile repair shop - Alameda ... (mapcarta.com) | El Torito & Yuyu Body Repair Oakland CA, 94601 – Manta.com (manta.com) | Homes for Sale near El Torito Auto Body | Realty.com (realty.com) | Amigo's Auto Body - Oakland, CA 94601 - The Real Yellow Pages (yellowpages.com) | Amigo's Auto Body in Oakland, CA 94601 - (510) 6... (chamberofcommerce.com)"
289,Cafe Bean,800 Sutter Street,(415) 928-0888,cafe,ATTEMPTED - search error,,ERROR: No results found.
290,Morning Fix Cafe,"1008 Bush Street, San Francisco, CA",(415) 875-9598,cafe,ATTEMPTED - search error,,ERROR: No results found.
291,Metropolitan,1018 Bush Street,(925) 293-6463,hairdresser,ATTEMPTED - search error,,ERROR: No results found.
292,Tina's Salon,"931 Bush Street, San Francisco, CA",(415) 346-5725,beauty,ATTEMPTED - search error,,ERROR: No results found.
293,Fresh Brew Coffee,882 Bush Street,(415) 567-0915,cafe,ATTEMPTED - search error,,ERROR: No results found.
294,Beanstalk Cafe,"724 Bush Street, 94108",(415) 576-1966,cafe,ATTEMPTED - search error,,ERROR: No results found.
295,Maru Sushi,"529 Powell Street, San Francisco, CA, 94108",(415) 393-9911,restaurant,ATTEMPTED - search error,,ERROR: No results found.
296,Noori Stitch,"Powell Street, San Francisco, California, 94108 (reverse-geocoded approximate)",(510) 695-4471,tailor,ATTEMPTED - search error,,ERROR: No results found.
297,Nave Cafe,"242 Powell Street, 94102",(415) 601-2677,cafe,ATTEMPTED - search error,,ERROR: No results found.
