Route stop,Business,Address,Phone,Category,Accepted profile link,Profile link search status,Profile link search evidence
207,Prolago Hand Car Wash,"North 10th Street, San Jose, California, 95131 (reverse-geocoded approximate)",(408) 271-9766,car_wash,https://www.facebook.com/prolagocarwash/,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
208,Peter Auto Body & Paint,"1310 North 10th Street, San Jose, 95112",(408) 288-8398,car_repair,https://www.yelp.com/biz/peter-auto-body-san-jose,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
209,101 Auto Body & Paint,"1033 North 11th Street, San Jose, CA, 95112",(408) 293-1010,car_repair,https://www.yelp.com/biz/101-auto-body-and-paint-san-jose,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
210,Chez Sovan,"923 Oakland Road, San Jose, CA, 95112",(408) 287-7619,restaurant,https://www.yelp.com/biz/chez-sovan-san-jose,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
211,Autoland;Radiatorland,"631 East Hedding Street, San Jose, 95112",(408) 297-2906,car_repair,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
212,Tire Merchants,"881 North 13th Street, San Jose, 95112",(408) 292-1339,tyres,https://www.yelp.com/biz/tire-merchants-san-jose?start=40,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
213,Maria Asela Caces-Tiamson Inc.,"560 East Hedding Street, San Jose, 95112",(408) 286-1412,dentist,https://www.yelp.com/biz/maria-asela-caces-tiamson-dds-inc-san-jose-2,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
214,AKW Auto Body & Paint,"850 North 10th Street, San Jose, 95112",(408) 294-8787,car_repair,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
215,Taquería “El Caminito”,"782 North 13th Street, San Jose, CA, 95112",(408) 295-1471,restaurant,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
216,Tony’s Pool Hall,"583 East Taylor Street, San Jose, CA, 95112",(408) 293-1181,bar,https://www.facebook.com/Tonys-Pool-Hall-118784044803305/,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
217,Mikee’s Auto Repair,"698 North 13th Street, San Jose, CA, 95112",(408) 287-1105,car_repair,https://www.yelp.com/biz/mikees-auto-repair-san-jose,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
218,LTM Smog & Repair,"North 13th Street, San Jose, California, 95112 (reverse-geocoded approximate)",(408) 924-0630,car_repair,https://www.yelp.com/biz/san-jose-star-smog-check-only-san-jose,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
219,"Doctor Martha E. Barragan, D.D.S.","634 North 13th Street, San Jose, CA, 95112",(408) 288-5490,dentist,https://www.yelp.com/biz/martha-e-barragan-dds-san-jose?start=20,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
220,Raul’s Mufflers,"633 North 13th Street, San Jose, CA, 95112",+1-408-772-5978;+1-408-816-7875,car_repair,https://www.facebook.com/raulsmufflers/,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
221,A&M Paint & Body,"633 North 13th Street, San Jose, CA, 95112",(408) 293-4256,car_repair,https://www.yelp.com/biz/a-and-m-paint-and-body-shop-san-jose,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
222,True Beauty Salon Spa,"246 Jackson Street, San Jose, 95112",(408) 271-2888,beauty,https://www.yelp.com/biz/true-beauty-salon-spa-san-jose-3,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
223,Taylor Automotive Service,"297 East Taylor Street, San Jose, CA, 95112-5005",(408) 295-3786,car_repair,https://www.yelp.com/biz/taylor-automotive-service-san-jose,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
224,Lettuce Sandwich Shop,"Coleman Avenue, Santa Clara, California, 95053 (reverse-geocoded approximate)",(408) 844-9400,restaurant,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
225,M.Y. Salon,"1000 Lafayette Street, Santa Clara, CA, 95050",(408) 260-9108,hairdresser,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
226,Winx,"1190 Homestead Road, Santa Clara, CA, 95050",(408) 799-4069,beauty,https://www.yelp.com/biz/winx-lash-and-brow-bar-santa-clara?start=60,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
227,Painted Ivy,"390 North Winchester Boulevard, Santa Clara, CA, 95050",(408) 883-4025,hairdresser,https://www.yelp.com/biz/painted-ivy-salon-santa-clara,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
228,CK Salon,"2373 Pruneridge Avenue, Santa Clara, CA, 95050",(408) 609-3105,hairdresser,https://www.yelp.com/biz/ck-salon-santa-clara,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
229,Vanna's Hair & Nails,"Pruneridge Avenue, Santa Clara, California, 95050 (reverse-geocoded approximate)",(408) 249-1230,beauty,https://www.instagram.com/vannas_hair_studio/,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
230,Kokodek Korean Fried Chicken,"385 South Kiely Boulevard, San Jose, CA, 95129",(669) 331-9707,restaurant,https://www.yelp.com/biz/modak-korean-chicken-san-jose-3,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
231,TLS Auto Service,"South Kiely Boulevard, San Jose, California, 95117 (reverse-geocoded approximate)",(408) 241-3848,car_repair,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
232,Korean Spring,"1062 Kiely Boulevard, Santa Clara, CA, 95051",(408) 985-8808,restaurant,https://www.yelp.com/biz/korean-spring-bbq-santa-clara,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
233,Kens' Hair Stylists & Nails,"3564 Homestead Road, Santa Clara, CA, 95051",(408) 244-7727,hairdresser,https://www.fresha.com/lvp/kens-hair-stylists-nails-homestead-road-santa-clara-464JvN,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
234,Classic Homestead Barber,"3545 Homestead Road, Santa Clara, CA, 95051",(408) 841-3685,hairdresser,https://www.yelp.com/biz/classic-homestead-barbers-santa-clara,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
235,T&K Barber & Hairstyling,"938 East El Camino Real, Sunnyvale, CA, 94087",(408) 739-8960,hairdresser,https://www.yelp.com/biz/t-and-k-barber-and-hairstyling-sunnyvale-7?start=40,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
236,Rajjot Sweets and Snacks,"1234 South Wolfe Road, Sunnyvale, 94086",(408) 730-5510,restaurant,https://www.yelp.com/biz/rajjot-sweet-and-snacks-sunnyvale,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
237,Jang Tu,1012 East El Camino Real,(408) 245-5720,restaurant,https://www.yelp.com/biz/jangtu-restaurant-sunnyvale,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
238,Hair Focus,"1026 East El Camino Real, Sunnyvale, CA, 94087",(408) 732-1475,hairdresser,https://www.yelp.com/biz/hair-focus-sunnyvale,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
239,Rama V Thai Cuisine,1028 East El Camino Real,(408) 738-2177,restaurant,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
240,Griffin Upholstery,1062 East El Camino Real,(408) 249-1360,car_repair,https://www.yelp.com/biz/griffin-upholstery-sunnyvale,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
241,Paredes Auto Works,1062 East El Camino Real,(408) 244-1800,car_repair,https://www.yelp.com/biz/paredes-autoworks-sunnyvale,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
242,Cheun Joo Young Yamg Dol Sot,"3519 El Camino Real, Santa Clara, CA, 95051",(408) 244-4002,restaurant,https://www.facebook.com/CheonJooYoungYangDolsot/about/,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
243,Perfect Hair Design,"3517 El Camino Real, Santa Clara, CA, 95051",(408) 248-9688,hairdresser,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
244,Honey Berry,3488 El Camino Real,(408) 985-9555,cafe,https://www.yelp.com/biz/honeyberry-santa-clara,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
245,미주부동산,"3354 El Camino Real, Santa Clara, CA, 95051",(408) 243-2424,estate_agent,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
246,Ga-In Beauty Salon,"3330 El Camino Real, Santa Clara, CA, 95051",(408) 529-7755,beauty,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
247,Santa Clara Tint Wrap & Carpet Coloring,"3295 El Camino Real, Santa Clara, CA, 95051",(408) 684-0083,car_repair,https://www.yelp.com/biz/santa-clara-tint-wrap-and-carpet-coloring-santa-clara,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
248,Jeff's Garage,"3295 El Camino Real, Santa Clara, CA, 95051",(408) 204-6948,car_repair,https://www.yelp.com/biz/jeffs-garage-santa-clara,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
249,Nu-Way Tool Supply,"3232 El Camino Real, Santa Clara, CA, 95051",(408) 984-5395,hardware,https://www.yelp.com/biz/nu-way-tool-supply-santa-clara,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
250,Sassy Nail,"3216 El Camino Real, Santa Clara, CA, 95051",(408) 246-3600,beauty,https://www.fresha.com/lvp/sassy-nail-el-camino-real-santa-clara-jbQWDk,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
251,Christine Dental,"El Camino Real, Santa Clara, California, 95051 (reverse-geocoded approximate)",(408) 246-5959,dentist,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
252,Blurr Kitchen,95050,(408) 243-1868,restaurant,https://www.yelp.com/biz/blurr-kitchen-santa-clara?start=200,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
253,Taqueria Vallarta,"2525 Scott Boulevard, Santa Clara, CA, 95050",(408) 492-9310,fast_food,https://www.instagram.com/taqueria__vallarta/,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
254,Goldie's Muffler & Brake,"2756 Scott Boulevard, Santa Clara, CA, 95050",(408) 988-3940,car_repair,https://www.yelp.com/biz/goldies-muffler-and-brake-santa-clara-2,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
255,Ume Chinese Food,"2595 North 1st Street, San Jose, CA, 95131",(408) 433-3333,restaurant,https://www.yelp.com/biz/ume-chinese-fast-food-san-jose,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
256,Biryani Stop,"2565 North 1st Street, San Jose, CA, 95131",(408) 824-5114,restaurant,https://www.facebook.com/biryanistopsjc/about/,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
257,Kenneth Hua Dentistry,"2573 North 1st Street, San Jose, 95131",(408) 433-5522,dentist,https://www.yelp.com/biz/kenneth-hua-dds-san-jose,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
258,Wilson Motorsports AutoRepair Inc.,"2138 O'Toole Avenue, San Jose, CA, 95131",(408) 267-7937,car_repair,https://www.yelp.com/biz/wilson-motorsports-san-jose-2?override_cta=Request+quote+&+availability,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
259,QQ Noodle,"416 Barber Lane, Milpitas, CA, 95035",(408) 894-9171,restaurant,https://www.yelp.com/biz/qq-noodle-milpitas?start=30,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
260,AikoNails,"792 Barber Lane, Milpitas, 95035",(669) 266-8285,beauty,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
261,Dreamhair Beauty Salon,"398 Barber Court, Milpitas, CA, 95035",(408) 321-9998,beauty,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
262,Hair.Com,"316 Barber Court, Milpitas, CA, 95035",(408) 321-8288,hairdresser,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
263,Apt.Li Xiang Restaurant,"290 Barber Court, Milpitas, CA, 95035",(408) 955-9588,restaurant,https://www.facebook.com/AptLiXiangLA/,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
264,Jiuding Flavor Restaurant,"79 South Abbott Avenue, Milpitas, CA, 95035",(408) 649-3307,restaurant,https://www.yelp.com/biz/jiuding-flavor-restaurant-milpitas?start=180,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
265,El Alazan Grill,"75 South Abbott Avenue, Milpitas, CA, 95035",(408) 649-3124,restaurant,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
266,Hair Day - The Korean Salon,"221 West Calaveras Boulevard, Milpitas, CA, 95035",(408) 726-5979,hairdresser,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
267,Ann Hong Vietnamese Restaurant,"233 West Calaveras Boulevard, Milpitas, CA, 95035",(408) 946-9046,restaurant,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
268,Angel Nails Spa,"259 West Calaveras Boulevard, Milpitas, CA, 95035",(408) 262-2587,beauty,https://www.yelp.com/biz/angel-nails-spa-milpitas-4,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
269,Serra Barber Shop,"200 Serra Way, Milpitas, CA, 95035",(408) 509-5514,hairdresser,https://www.yelp.com/biz/serra-barber-shop-milpitas,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
270,Sonam House Of Indian Fashion,"300 South Abel Street, Milpitas, CA, 95035",(408) 262-2938,clothes,https://www.facebook.com/sonamfashions/,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
271,Bleu de Beaute,"61 Serra Way, Milpitas, CA, 95035",(408) 203-3179,beauty,https://www.facebook.com/bleudebeautesalon/,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
272,Taste Good Beijing Duck,"82 South Abel Street, Milpitas, CA, 95035",(408) 262-9439,restaurant,https://www.yelp.com/biz/taste-good-beijing-milpitas,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
273,Sen Dai Sushi,"224 North Abel Street, Milpitas, CA, 95035",(408) 263-1472,restaurant,https://www.yelp.com/biz/sen-dai-sushi-milpitas,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
274,Donut Basket,"242 North Abel Street, Milpitas, CA, 95035",(408) 649-3314,fast_food,https://www.yelp.com/biz/donut-basket-milpitas-2,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
275,Taiwan Cafe,"568 North Abel Street, 95035",(408) 586-8885,restaurant,https://www.yelp.com/biz/taiwan-cafe-milpitas-2,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
276,Jeanne's Nail Spa,"111 Beresford Court, Milpitas, CA, 95035",(408) 956-5555,beauty,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
277,Luu New Tung Kee Noodle,"481 East Calaveras Boulevard, Milpitas, CA, 95035",(408) 263-8288,restaurant,https://www.yelp.com/biz/luu-new-tung-kee-noodle-milpitas-3,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
278,Radiant Dental,"10 South Hillview Drive, Milpitas, CA, 95035",(408) 719-1643,dentist,https://www.yelp.com/biz/thai-nguyen-dds-radiant-dental-milpitas,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
279,Modern Image,"98 Dempsey Road, Milpitas, CA",(408) 935-8889,hairdresser,https://www.yelp.com/biz/modern-image-milpitas,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
280,King Chicken Wing,"South Park Victoria Drive, Milpitas, California, 95035 (reverse-geocoded approximate)",(408) 262-8730,restaurant,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
281,Park Victoria Dental,"33 South Park Victoria Drive, Milpitas, CA, 95035",(408) 942-1000,dentist,https://www.yelp.com/biz/park-victoria-dental-milpitas,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
282,Tina's Hair Design,"31 South Park Victoria Drive, Milpitas, CA, 95035",(408) 946-5234,hairdresser,https://www.yelp.com/biz/tinas-hair-design-i-milpitas,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
283,Calaveras Family Dentistry,"79 Dempsey Road, Milpitas, CA, 95035",(408) 263-0900,dentist,https://www.yelp.com/biz/calaveras-family-dentistry-and-modern-orthodontics-milpitas-2?start=10,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
284,BBH Noodle,"1203 East Calaveras Boulevard, Milpitas, CA, 95035",(408) 263-8985,restaurant,https://www.yelp.com/biz/bbh-noodle-milpitas,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
285,Be My Nails,"1281 East Calaveras Boulevard, Milpitas, CA, 95035",(408) 946-6245,beauty,https://www.facebook.com/bemynailssalon/,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
286,Christy's Donuts,"1291 East Calaveras Boulevard, Milpitas, CA, 95035",(408) 942-1933,fast_food,https://www.yelp.com/biz/christys-donuts-milpitas,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
287,Victoria Hair & Nails,"96 South Park Victoria Drive, Milpitas, CA, 95035",(408) 493-5160,hairdresser,https://www.yelp.com/biz/victoria-salon-milpitas-2,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
288,Chez Christina,"1339 Jacklin Road, Milpitas, CA, 95035",(408) 263-2220,restaurant,https://www.facebook.com/chezchristinabistro/,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
289,The Pizza Box,"1253 Jacklin Road, Milpitas, CA, 95035",(408) 946-6521,restaurant,https://www.yelp.com/biz/the-pizza-box-milpitas,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
290,MM Barbershop,"465 Jacklin Road, Milpitas, CA, 95035",(408) 649-3434,hairdresser,https://www.fresha.com/lvp/mm-barbershop-jacklin-road-milpitas-loD0be,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
291,I Nails,"353 Jacklin Road, Milpitas, CA, 95035",(408) 946-1800,beauty,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
292,Loved And Lashed,"1468 North Milpitas Boulevard, Milpitas, CA",(510) 789-7478,beauty,https://www.fresha.com/a/loved-and-lashed-milpitas-1468-north-milpitas-boulevard-o482na3t,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
293,Allianace Dental Center,"1474 North Milpitas Boulevard, Milpitas, CA, 95035",(408) 946-1397,dentist,https://www.yelp.com/biz/alliance-dental-center-milpitas,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
294,Bliss Beauty & Spa,"1478 North Milpitas Boulevard, Milpitas, CA, 95035",(408) 262-5075,beauty,https://www.yelp.com/biz/bliss-beauty-and-spa-milpitas-2,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
295,Chick & Tea,"1723 North Milpitas Boulevard, Milpitas, CA, 95035",(408) 770-2268,restaurant,https://www.yelp.com/biz/chick-and-tea-taiwanese-soul-food-milpitas,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
296,Gao's Kabob & Crab,"1741 North Milpitas Boulevard, Milpitas, CA, 95035",(408) 708-7906,restaurant,https://www.yelp.com/biz/gaos-kabob-and-crab-milpitas-2,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
297,Shing's Hair Studio,"1840 North Milpitas Boulevard, Milpitas, CA, 95035",(408) 262-6689,hairdresser,https://www.yelp.com/biz/shings-hair-studio-milpitas,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
298,Beauty Touch,"54 Dixon Road, Milpitas, CA, 95035",(408) 946-8945,beauty,https://www.yelp.com/biz/beauty-touch-milpitas?start=10,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
299,OP Beautiful Nails Spa,"58 Dixon Road, Milpitas, CA, 95035",(408) 263-9653,beauty,https://www.fresha.com/lvp/op-beautiful-nails-spa-dixon-road-milpitas-BowaAa,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
300,Vincent Liang Dentistry,"106 Dixon Road, Milpitas, CA, 95035",(408) 934-1200,dentist,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
301,Little Taipei Café,"46897 Warm Springs Boulevard, Fremont, CA, 94539",(510) 657-8488,restaurant,https://www.yelp.com/biz/little-taipei-cafe-fremont,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
302,Lok Nails,46584 Mission Blvd,(510) 258-7459,beauty,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
303,Sean's Barber Shop,46543 Mission Blvd,(510) 252-0924,hairdresser,https://www.yelp.com/biz/seans-barber-shop-fremont,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
304,A+ Hk Style Cafe,"46260 Warm Springs Boulevard, Fremont, CA",(510) 226-9168,restaurant,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
305,"Richard My Ta, D.D.S., Inc.","46228 Warm Springs Boulevard, Fremont, CA, 94539",(510) 573-3286,dentist,https://www.yelp.com/biz/richard-ta-dds-fremont,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
306,Star Salon,"46164 Warm Springs Boulevard, Fremont, CA, 94539",(510) 396-0303,beauty,https://www.yelp.com/biz/star-salon-fremont,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
307,Red Pot,2090 Warm Springs Court,(510) 573-3965,restaurant,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
308,CT Nails & Spa,"43496 Grimmer Boulevard, Fremont, CA",(510) 226-9909,beauty,https://www.yelp.com/biz/ct-nails-and-spa-fremont-3,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
309,Pho Saigon Pasteur,"43460 Grimmer Boulevard, Fremont, CA",(510) 249-9902,restaurant,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
310,Young Beauty Salon,"41255 Fremont Boulevard, Fremont, CA, 94538",(510) 683-0709,beauty,https://www.yelp.com/biz/youngs-beauty-salon-fremont,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
311,Max Nunez CPA,"41255 Fremont Boulevard, Fremont, CA, 94538",(510) 656-3898,accountant,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
312,L'Amour Nails,"39477 Fremont Boulevard, Fremont, CA",(510) 770-9300,beauty,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
313,De Ala Dental,"39453 Fremont Boulevard, Fremont, CA",(510) 657-8907,dentist,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
314,Top Hair Cut & Salon,"39435 Fremont Boulevard, Fremont, CA",(510) 657-7197,hairdresser,https://www.yelp.com/biz/top-hair-cut-fremont?start=20,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
315,"Amy B. Wong, D.D.S.",39358 Fremont Boulevard,(510) 818-1891,dentist,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
316,Doan's Hair & Spa,"3367 Walnut Avenue, 94538",(510) 793-6706,hairdresser,https://www.yelp.com/biz/doans-hair-and-spa-fremont-2,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
317,Sushi Ken,39156 Paseo Padre Parkway,(510) 894-1698,restaurant,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
318,Sleek Salon,"38990 Paseo Padre Parkway, Fremont, 94538",(510) 790-2600,beauty,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
319,Stela's Hair Salon,"37477, Fremont",(510) 791-7198,hairdresser,https://www.yelp.com/biz/stelas-hair-salon-fremont,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
320,Mary’s Barbershop,"11853 Main Street, California, 94586 (reverse-geocoded approximate)",(925) 568-0021,hairdresser,https://www.fresha.com/lvp/marys-barbershop-main-street-sunol-VE6ZNL,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
321,Yat Sing Chinese Food,"5400 Sunol Boulevard, Pleasanton, CA, 94566",(925) 484-1008,restaurant,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
322,Jim's Country Style Restaurant,"5400 Sunol Boulevard, Pleasanton, CA, 94566",(925) 426-7019,restaurant,https://www.yelp.com/biz/jims-country-style-restaurant-pleasanton-3,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
323,Main St. Hair Extensions Bar,"260;264;268 Main Street, Pleasanton, California, 94566 (reverse-geocoded approximate)",(925) 339-2395,hairdresser,https://www.yelp.com/biz/main-st-hair-wigs-and-extensions-pleasanton?override_cta=Request+an+appointment,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
324,Brush & Blow,"West Angela Street, Pleasanton, California, 94566 (reverse-geocoded approximate)",(925) 249-5139,hairdresser,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
325,Estrella Designs,"Division Street, Pleasanton, California, 94566 (reverse-geocoded approximate)",(925) 408-2985,tailor,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
326,Sculptations Boutique,"Division Street, Pleasanton, California, 94566 (reverse-geocoded approximate)",(925) 381-9300,beauty,https://www.facebook.com/joeyraeboutique/,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
327,Aila aesthetics,"148;164 Ray Street, Pleasanton, California, 94566 (reverse-geocoded approximate)",(925) 313-7780,beauty,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
328,Lavendar Nail Salon,"3550 Bernal Avenue, Pleasanton, California, 94566 (reverse-geocoded approximate)",(925) 462-6907,beauty,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
329,Hopyard Nails,"2723 Hopyard Road, Pleasanton, CA, 94588",(925) 462-2261,beauty,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
330,Shear Cuts,"2739 Hopyard Road, Pleasanton, CA, 94588",(925) 462-0123,hairdresser,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
331,The Jelly Donut,"2897 Hopyard Road, Pleasanton, CA, 94588",(925) 462-1343,cafe,https://www.yelp.com/biz/the-jelly-donut-pleasanton,ACCEPTED - profile link in final CSV,Validated third-party profile link is present in final CSV.
332,Pho Lovers,"4288 Dublin Boulevard, Dublin, CA, 94568",(925) 361-8024,restaurant,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
333,Monaco Hair And Nails,"Dublin Boulevard, Dublin, California, 94588 (reverse-geocoded approximate)",(925) 479-0999,beauty,,SEARCHED - no high-confidence profile link found,No high-confidence Yelp/Booksy/social profile link was retained.
